id,period,status,city_client,department_client,status_str,department_code,country_client
67,2022-12-31 01:22:11,0,Zapatoca,Santander,inactive,68,Colombia
68,2023-12-16 03:59:44,1,Sutatausa,Cundinamarca,active,25,Colombia
69,2023-12-01 03:25:28,1,Simacota,Santander,active,68,Colombia
70,2023-05-04 23:55:40,1,Pueblo Nuevo,Córdoba,active,23,Colombia
71,2022-07-02 17:57:15,1,Los Córdobas,Córdoba,active,23,Colombia
72,2022-04-08 03:18:01,0,Puerto Wilches,Santander,inactive,68,Colombia
73,2024-01-11 07:17:02,0,San Zenón,Magdalena,inactive,47,Colombia
74,2024-01-24 09:01:48,0,El Roble,Sucre,inactive,70,Colombia
75,2022-04-29 07:51:31,1,Nunchía,Casanare,active,85,Colombia
76,2023-05-14 06:26:24,0,Guacamayas,Boyacá,inactive,15,Colombia
77,2022-08-27 01:28:19,0,Andalucía,Valle del Cauca,inactive,76,Colombia
78,2023-03-18 02:08:48,0,Montenegro,Quindío,inactive,63,Colombia
79,2022-02-19 04:38:03,0,Los Palmitos,Sucre,inactive,70,Colombia
80,2023-04-20 17:19:18,0,Cicuco,Bolívar,inactive,13,Colombia
81,2023-07-24 06:32:16,0,San Alberto,Cesar,inactive,20,Colombia
82,2023-04-09 21:42:51,0,Corinto,Cauca,inactive,19,Colombia
83,2023-12-23 23:22:47,0,San Estanislao,Bolívar,inactive,13,Colombia
84,2022-09-23 05:16:12,0,Herveo,Tolima,inactive,73,Colombia
85,2022-09-26 01:04:09,1,Taminango,Nariño,active,52,Colombia
86,2023-11-25 11:04:37,1,Samaniego,Nariño,active,52,Colombia
87,2023-10-24 16:19:14,0,Unión Panamericana,Chocó,inactive,27,Colombia
88,2022-09-03 21:16:44,0,Teorama,Norte de Santander,inactive,54,Colombia
89,2022-08-15 10:02:52,0,El Colegio,Cundinamarca,inactive,25,Colombia
90,2023-03-14 13:08:18,0,Yopal,Casanare,inactive,85,Colombia
91,2022-08-10 17:50:22,1,Gachalá,Cundinamarca,active,25,Colombia
92,2022-01-25 20:48:09,1,Florián,Santander,active,68,Colombia
93,2022-07-16 10:23:02,1,Pital,Huila,active,41,Colombia
94,2023-04-03 21:50:45,1,Rovira,Tolima,active,73,Colombia
95,2023-09-14 01:59:34,0,Plato,Magdalena,inactive,47,Colombia
96,2022-06-06 23:02:51,0,González,Cesar,inactive,20,Colombia
97,2022-08-15 02:53:33,1,Timaná,Huila,active,41,Colombia
98,2022-11-05 18:28:29,0,Pueblo Bello,Cesar,inactive,20,Colombia
99,2023-03-04 23:43:43,0,Floresta,Boyacá,inactive,15,Colombia
100,2022-10-19 08:20:09,0,Gachetá,Cundinamarca,inactive,25,Colombia
101,2023-09-25 09:41:22,0,Vianí,Cundinamarca,inactive,25,Colombia
102,2023-12-31 23:06:51,0,Hispania,Antioquia,inactive,5,Colombia
103,2023-02-09 10:08:43,0,Hatonuevo,La Guajira,inactive,44,Colombia
104,2022-03-02 15:25:41,1,Talaigua Nuevo,Bolívar,active,13,Colombia
105,2023-12-06 21:16:45,1,Agustín Codazzi,Cesar,active,20,Colombia
106,2023-12-24 20:31:21,0,Ebéjico,Antioquia,inactive,5,Colombia
107,2022-06-03 19:21:23,0,Chita,Boyacá,inactive,15,Colombia
108,2022-06-08 20:34:52,0,Santa Rosa de Cabal,Risaralda,inactive,66,Colombia
109,2023-02-16 18:30:06,0,Tibirita,Cundinamarca,inactive,25,Colombia
110,2023-07-21 09:01:23,1,Madrid,Cundinamarca,active,25,Colombia
111,2023-02-23 16:20:52,0,Nilo,Cundinamarca,inactive,25,Colombia
112,2023-08-14 18:18:32,1,Paratebueno,Cundinamarca,active,25,Colombia
113,2023-11-17 00:15:41,0,San Andrés de Cuerquía,Antioquia,inactive,5,Colombia
114,2023-10-10 19:35:26,0,Guapotá,Santander,inactive,68,Colombia
115,2023-01-04 07:15:01,1,Ubaque,Cundinamarca,active,25,Colombia
116,2022-03-03 17:44:34,1,Padilla,Cauca,active,19,Colombia
117,2023-06-01 10:00:08,1,Nueva Granada,Magdalena,active,47,Colombia
118,2022-02-12 15:54:18,1,Cucunubá,Cundinamarca,active,25,Colombia
119,2023-09-15 08:12:22,1,Tibaná,Boyacá,active,15,Colombia
120,2022-09-07 22:55:27,0,Cubarral,Meta,inactive,50,Colombia
121,2022-06-06 14:33:28,1,San Sebastián de Buenavista,Magdalena,active,47,Colombia
122,2022-06-07 07:03:23,0,Madrid,Cundinamarca,inactive,25,Colombia
123,2022-12-02 10:33:18,1,Caicedonia,Valle del Cauca,active,76,Colombia
124,2023-06-07 21:48:44,0,Santiago,Putumayo,inactive,86,Colombia
125,2022-06-19 15:38:50,0,Chiriguaná,Cesar,inactive,20,Colombia
126,2022-08-27 05:27:24,0,El Paujíl,Caquetá,inactive,18,Colombia
127,2022-01-11 19:05:57,1,Caldas,Antioquia,active,5,Colombia
128,2023-05-22 11:07:58,0,Supatá,Cundinamarca,inactive,25,Colombia
129,2022-05-12 05:15:03,0,La Jagua del Pilar,La Guajira,inactive,44,Colombia
130,2023-10-26 19:40:05,0,El Roble,Sucre,inactive,70,Colombia
131,2022-07-23 11:14:53,0,Tota,Boyacá,inactive,15,Colombia
132,2022-09-13 09:24:41,1,Vijes,Valle del Cauca,active,76,Colombia
133,2022-06-26 18:30:10,1,Riosucio,Chocó,active,27,Colombia
134,2023-03-03 17:58:04,1,Teruel,Huila,active,41,Colombia
135,2023-11-07 20:42:38,0,El Carmen,Norte de Santander,inactive,54,Colombia
136,2023-09-12 14:07:03,0,Garagoa,Boyacá,inactive,15,Colombia
137,2022-06-02 19:09:09,0,Villavicencio,Meta,inactive,50,Colombia
138,2022-10-11 23:33:44,0,Santa Rosa,Cauca,inactive,19,Colombia
139,2024-01-12 14:28:59,0,Guasca,Cundinamarca,inactive,25,Colombia
140,2023-03-19 21:07:52,1,Sardinata,Norte de Santander,active,54,Colombia
141,2022-11-19 15:15:22,1,Vijes,Valle del Cauca,active,76,Colombia
142,2022-09-26 15:06:56,0,Corrales,Boyacá,inactive,15,Colombia
143,2022-08-26 11:10:01,1,Paz de Ariporo,Casanare,active,85,Colombia
144,2023-08-12 21:43:58,0,Imués,Nariño,inactive,52,Colombia
145,2022-02-20 12:50:59,1,Belén de Umbría,Risaralda,active,66,Colombia
146,2023-10-25 17:38:09,1,Tauramena,Casanare,active,85,Colombia
147,2023-02-15 11:16:06,1,Ebéjico,Antioquia,active,5,Colombia
148,2023-11-01 06:12:49,1,Villagómez,Cundinamarca,active,25,Colombia
149,2023-11-14 18:31:31,0,Hacarí,Norte de Santander,inactive,54,Colombia
150,2022-08-02 12:32:29,1,Cucaita,Boyacá,active,15,Colombia
151,2023-01-05 13:56:22,1,Melgar,Tolima,active,73,Colombia
152,2023-12-18 17:35:58,1,Barichara,Santander,active,68,Colombia
153,2023-02-03 11:27:15,1,Sáchica,Boyacá,active,15,Colombia
154,2022-11-24 19:03:56,0,Astrea,Cesar,inactive,20,Colombia
155,2023-07-12 17:59:32,1,Toca,Boyacá,active,15,Colombia
156,2022-02-07 03:35:53,0,Ábrego,Norte de Santander,inactive,54,Colombia
157,2022-12-25 17:47:17,1,Cerro de San Antonio,Magdalena,active,47,Colombia
158,2022-09-05 06:12:35,1,Lérida,Tolima,active,73,Colombia
159,2023-08-31 06:58:30,1,Salento,Quindío,active,63,Colombia
160,2023-05-09 14:25:05,0,Sucre,Santander,inactive,68,Colombia
161,2024-01-13 16:40:20,0,Arenal,Bolívar,inactive,13,Colombia
162,2023-09-10 23:38:49,0,San Pablo de Borbur,Boyacá,inactive,15,Colombia
163,2023-09-15 21:11:46,0,Majagual,Sucre,inactive,70,Colombia
164,2023-09-09 03:19:32,0,Almaguer,Cauca,inactive,19,Colombia
165,2022-06-24 03:21:39,0,Los Córdobas,Córdoba,inactive,23,Colombia
166,2023-07-30 00:45:29,1,Labateca,Norte de Santander,active,54,Colombia
167,2022-02-09 19:36:02,1,Tasco,Boyacá,active,15,Colombia
168,2023-02-02 14:52:54,0,Chipaque,Cundinamarca,inactive,25,Colombia
169,2023-10-14 23:37:25,0,Puerto Salgar,Cundinamarca,inactive,25,Colombia
170,2023-12-14 05:39:07,0,San Pedro de Cartago,Nariño,inactive,52,Colombia
171,2022-01-18 23:59:23,1,Pivijay,Magdalena,active,47,Colombia
172,2023-11-16 20:17:48,1,Cumbal,Nariño,active,52,Colombia
173,2022-12-02 03:00:25,0,Pácora,Caldas,inactive,17,Colombia
174,2022-03-10 07:44:04,0,San Felipe,Guainía,inactive,94,Colombia
175,2022-08-17 16:08:45,0,Papunahua,Vaupés,inactive,97,Colombia
176,2022-12-29 12:18:51,0,Puerto Lleras,Meta,inactive,50,Colombia
177,2023-10-21 23:04:13,1,Saravena,Arauca,active,81,Colombia
178,2022-10-08 19:17:58,0,Trujillo,Valle del Cauca,inactive,76,Colombia
179,2023-11-05 18:17:02,0,Sampués,Sucre,inactive,70,Colombia
180,2023-01-15 10:38:15,0,Apulo,Cundinamarca,inactive,25,Colombia
181,2022-02-03 22:16:55,1,El Banco,Magdalena,active,47,Colombia
182,2022-11-13 16:50:56,0,Carolina,Antioquia,inactive,5,Colombia
183,2023-03-01 22:40:37,0,Quimbaya,Quindío,inactive,63,Colombia
184,2023-06-15 06:47:50,0,La Sierra,Cauca,inactive,19,Colombia
185,2022-11-10 13:53:21,0,Morichal,Guainía,inactive,94,Colombia
186,2022-02-06 05:11:26,0,Cañasgordas,Antioquia,inactive,5,Colombia
187,2022-01-22 06:02:39,1,Zapatoca,Santander,active,68,Colombia
188,2022-09-05 17:56:15,1,Maicao,La Guajira,active,44,Colombia
189,2023-12-18 03:18:26,1,Sabanalarga,Atlántico,active,8,Colombia
190,2022-06-22 12:40:04,0,Medio Baudó,Chocó,inactive,27,Colombia
191,2022-09-10 03:29:47,0,San Diego,Cesar,inactive,20,Colombia
192,2022-07-10 12:30:13,1,Aguada,Santander,active,68,Colombia
193,2023-10-03 18:33:00,0,Pupiales,Nariño,inactive,52,Colombia
194,2023-06-28 17:12:56,1,La Apartada,Córdoba,active,23,Colombia
195,2023-12-23 13:46:48,1,Sucre,Sucre,active,70,Colombia
196,2023-02-27 00:24:36,0,Becerril,Cesar,inactive,20,Colombia
197,2023-07-07 20:33:10,1,San Miguel de Sema,Boyacá,active,15,Colombia
198,2022-12-31 16:27:31,0,Tota,Boyacá,inactive,15,Colombia
199,2023-02-20 01:18:00,0,Margarita,Bolívar,inactive,13,Colombia
200,2023-04-03 02:35:38,1,Machetá,Cundinamarca,active,25,Colombia
201,2022-03-26 22:22:48,1,La Salina,Casanare,active,85,Colombia
202,2024-01-27 21:25:04,1,Buenavista,Sucre,active,70,Colombia
203,2023-10-12 21:22:40,1,Corrales,Boyacá,active,15,Colombia
204,2022-01-25 00:14:09,0,Aguada,Santander,inactive,68,Colombia
205,2022-12-29 06:08:20,0,Barranca de Upía,Meta,inactive,50,Colombia
206,2023-08-14 05:43:03,0,Tibirita,Cundinamarca,inactive,25,Colombia
207,2022-07-03 14:22:04,0,Nueva Granada,Magdalena,inactive,47,Colombia
208,2022-09-19 01:34:55,0,Valparaíso,Caquetá,inactive,18,Colombia
209,2023-06-11 12:23:28,0,Hispania,Antioquia,inactive,5,Colombia
210,2023-01-28 22:26:31,1,Galapa,Atlántico,active,8,Colombia
211,2023-09-04 07:51:55,0,Palestina,Caldas,inactive,17,Colombia
212,2022-09-08 23:41:16,0,El Carmen de Chucurí,Santander,inactive,68,Colombia
213,2023-04-18 03:56:56,1,Coromoro,Santander,active,68,Colombia
214,2023-09-05 13:01:07,1,Pupiales,Nariño,active,52,Colombia
215,2023-04-20 01:53:32,1,Salazar,Norte de Santander,active,54,Colombia
216,2023-08-26 16:54:41,1,Cartagena del Chairá,Caquetá,active,18,Colombia
217,2022-01-29 10:21:50,0,El Retorno,Guaviare,inactive,95,Colombia
218,2023-12-10 19:57:14,1,San Andrés de Cuerquía,Antioquia,active,5,Colombia
219,2023-04-25 05:45:25,1,Armero,Tolima,active,73,Colombia
220,2022-06-01 22:23:37,1,Aranzazu,Caldas,active,17,Colombia
221,2022-08-08 04:38:32,0,Tocaima,Cundinamarca,inactive,25,Colombia
222,2022-11-29 22:25:27,1,Pachavita,Boyacá,active,15,Colombia
223,2023-02-20 23:36:05,1,Restrepo,Meta,active,50,Colombia
224,2023-03-28 12:48:59,0,Chiquinquirá,Boyacá,inactive,15,Colombia
225,2023-01-09 21:17:39,0,El Cairo,Valle del Cauca,inactive,76,Colombia
226,2023-11-11 07:51:14,0,Nemocón,Cundinamarca,inactive,25,Colombia
227,2022-01-03 21:55:46,0,Fusagasugá,Cundinamarca,inactive,25,Colombia
228,2022-01-29 22:07:33,0,El Cairo,Valle del Cauca,inactive,76,Colombia
229,2022-05-02 12:14:16,0,Caparrapí,Cundinamarca,inactive,25,Colombia
230,2023-08-17 02:19:41,1,Santa María,Huila,active,41,Colombia
231,2022-02-02 05:24:03,1,San Cayetano,Norte de Santander,active,54,Colombia
232,2023-01-26 09:52:09,0,Cucutilla,Norte de Santander,inactive,54,Colombia
233,2023-11-03 07:07:18,1,Pailitas,Cesar,active,20,Colombia
234,2022-10-19 21:53:00,1,Tibasosa,Boyacá,active,15,Colombia
235,2023-09-16 07:47:43,1,San José de la Montaña,Antioquia,active,5,Colombia
236,2022-06-14 03:10:27,1,Turbaco,Bolívar,active,13,Colombia
237,2023-03-11 00:35:55,0,Armenia,Quindío,inactive,63,Colombia
238,2022-09-21 09:27:39,0,Gualmatán,Nariño,inactive,52,Colombia
239,2024-01-24 16:36:33,1,Pacho,Cundinamarca,active,25,Colombia
240,2022-01-18 08:20:19,0,Tasco,Boyacá,inactive,15,Colombia
241,2023-10-15 00:03:56,0,Silos,Norte de Santander,inactive,54,Colombia
242,2023-09-22 06:43:43,0,Cimitarra,Santander,inactive,68,Colombia
243,2022-06-29 23:28:33,1,La Victoria,Valle del Cauca,active,76,Colombia
244,2022-01-30 02:02:55,1,Ábrego,Norte de Santander,active,54,Colombia
245,2022-07-04 12:13:24,0,Caicedo,Antioquia,inactive,5,Colombia
246,2022-01-11 21:47:50,0,San Carlos,Córdoba,inactive,23,Colombia
247,2022-12-04 15:29:56,0,Arauquita,Arauca,inactive,81,Colombia
248,2023-07-20 16:45:06,1,San Juan del Cesar,La Guajira,active,44,Colombia
249,2022-07-01 14:53:44,0,Úmbita,Boyacá,inactive,15,Colombia
250,2022-03-29 10:38:56,0,San Bernardo,Nariño,inactive,52,Colombia
251,2023-10-04 09:25:26,1,Concordia,Antioquia,active,5,Colombia
252,2024-01-25 21:17:07,1,San Juanito,Meta,active,50,Colombia
253,2023-03-05 05:07:19,0,Riohacha,La Guajira,inactive,44,Colombia
254,2022-04-26 10:19:16,1,Cumaribo,Vichada,active,99,Colombia
255,2023-11-02 16:23:15,1,Vergara,Cundinamarca,active,25,Colombia
256,2022-04-20 19:23:54,1,Anzoátegui,Tolima,active,73,Colombia
257,2023-01-21 06:23:54,1,El Cantón del San Pablo,Chocó,active,27,Colombia
258,2022-10-25 08:48:15,1,Tipacoque,Boyacá,active,15,Colombia
259,2023-01-20 00:46:31,1,Samacá,Boyacá,active,15,Colombia
260,2023-07-05 06:42:47,1,Planadas,Tolima,active,73,Colombia
261,2022-05-15 22:01:20,1,Policarpa,Nariño,active,52,Colombia
262,2022-11-18 03:11:30,0,Marinilla,Antioquia,inactive,5,Colombia
263,2022-09-13 11:02:13,1,Donmatías,Antioquia,active,5,Colombia
264,2023-12-08 06:46:22,0,Anolaima,Cundinamarca,inactive,25,Colombia
265,2022-03-12 21:21:17,0,Mapiripán,Meta,inactive,50,Colombia
266,2022-06-09 20:01:26,1,Susa,Cundinamarca,active,25,Colombia
267,2022-01-22 22:12:01,0,Buenaventura,Valle del Cauca,inactive,76,Colombia
268,2022-04-06 07:48:09,1,Chivolo,Magdalena,active,47,Colombia
269,2023-09-09 16:44:06,0,Uribe,Meta,inactive,50,Colombia
270,2023-12-18 09:19:10,0,Ragonvalia,Norte de Santander,inactive,54,Colombia
271,2022-07-22 12:47:16,1,Solano,Caquetá,active,18,Colombia
272,2022-08-01 05:44:31,0,Cravo Norte,Arauca,inactive,81,Colombia
273,2023-09-24 23:04:44,0,Molagavita,Santander,inactive,68,Colombia
274,2024-01-26 21:05:11,1,Vianí,Cundinamarca,active,25,Colombia
275,2023-07-09 16:51:21,1,Puerto Escondido,Córdoba,active,23,Colombia
276,2022-05-22 17:45:13,1,Covarachía,Boyacá,active,15,Colombia
277,2023-08-16 17:52:23,0,Yumbo,Valle del Cauca,inactive,76,Colombia
278,2023-10-14 12:06:21,1,Buenavista,Boyacá,active,15,Colombia
279,2023-05-15 11:08:54,0,San Vicente Ferrer,Antioquia,inactive,5,Colombia
280,2023-07-09 16:24:16,1,Guacarí,Valle del Cauca,active,76,Colombia
281,2023-07-04 14:33:04,1,Toro,Valle del Cauca,active,76,Colombia
282,2023-08-12 20:53:33,0,San Andrés de Sotavento,Córdoba,inactive,23,Colombia
283,2022-09-27 11:31:58,1,Suárez,Cauca,active,19,Colombia
284,2022-08-03 14:48:07,1,Maripí,Boyacá,active,15,Colombia
285,2022-03-17 05:24:39,0,Matanza,Santander,inactive,68,Colombia
286,2022-12-14 16:32:19,1,Restrepo,Valle del Cauca,active,76,Colombia
287,2023-01-21 11:12:29,1,San Andrés,Santander,active,68,Colombia
288,2022-06-23 09:53:26,1,Pereira,Risaralda,active,66,Colombia
289,2022-04-04 00:54:54,0,Zetaquira,Boyacá,inactive,15,Colombia
290,2023-10-07 23:30:55,0,Carmen de Carupa,Cundinamarca,inactive,25,Colombia
291,2023-12-05 03:57:43,0,Pacho,Cundinamarca,inactive,25,Colombia
292,2023-09-19 10:48:46,0,Restrepo,Meta,inactive,50,Colombia
293,2024-01-02 20:40:47,0,Mallama,Nariño,inactive,52,Colombia
294,2022-10-31 09:59:28,0,Pensilvania,Caldas,inactive,17,Colombia
295,2022-05-30 16:39:26,1,Herrán,Norte de Santander,active,54,Colombia
296,2023-07-19 20:41:06,0,Riohacha,La Guajira,inactive,44,Colombia
297,2023-01-05 22:34:12,1,Bogotá,Cundinamarca,active,25,Colombia
298,2023-09-04 04:45:22,0,Sucre,Santander,inactive,68,Colombia
299,2023-01-02 16:56:17,0,Santa Cruz de Mompox,Bolívar,inactive,13,Colombia
300,2023-04-10 12:45:50,0,Santa Rosa de Osos,Antioquia,inactive,5,Colombia
301,2022-06-06 21:40:28,0,Francisco Pizarro,Nariño,inactive,52,Colombia
302,2023-06-14 14:45:48,0,Herveo,Tolima,inactive,73,Colombia
303,2023-04-11 08:08:45,0,Tocaima,Cundinamarca,inactive,25,Colombia
304,2023-10-06 16:41:24,1,Junín,Cundinamarca,active,25,Colombia
305,2022-09-08 04:38:09,0,San José,Caldas,inactive,17,Colombia
306,2022-06-19 19:08:10,1,Quetame,Cundinamarca,active,25,Colombia
307,2023-10-16 00:54:39,0,Aracataca,Magdalena,inactive,47,Colombia
308,2022-04-10 05:21:16,0,Guachucal,Nariño,inactive,52,Colombia
309,2023-05-24 18:15:28,1,Puerto Santander,Amazonas,active,91,Colombia
310,2022-04-16 02:41:41,0,Taminango,Nariño,inactive,52,Colombia
311,2022-05-19 15:54:27,0,Barrancominas,Guainía,inactive,94,Colombia
312,2023-05-27 21:23:54,1,Concordia,Antioquia,active,5,Colombia
313,2023-02-11 23:21:55,1,Vergara,Cundinamarca,active,25,Colombia
314,2022-01-31 13:26:34,1,Alpujarra,Tolima,active,73,Colombia
315,2022-12-19 16:32:07,1,Lloró,Chocó,active,27,Colombia
316,2022-11-03 13:27:01,0,San Luis de Gaceno,Boyacá,inactive,15,Colombia
317,2023-01-10 03:18:44,0,Betania,Antioquia,inactive,5,Colombia
318,2023-02-21 09:14:48,0,Fundación,Magdalena,inactive,47,Colombia
319,2022-11-18 00:05:43,0,Talaigua Nuevo,Bolívar,inactive,13,Colombia
320,2023-12-07 08:40:48,1,Samaniego,Nariño,active,52,Colombia
321,2022-11-01 06:12:42,1,Monterrey,Casanare,active,85,Colombia
322,2023-02-01 12:55:13,1,El Dorado,Meta,active,50,Colombia
323,2023-01-02 02:04:20,0,Sapuyes,Nariño,inactive,52,Colombia
324,2022-06-16 05:46:49,1,Salento,Quindío,active,63,Colombia
325,2024-01-20 17:28:54,1,Iza,Boyacá,active,15,Colombia
326,2023-07-16 22:48:38,0,Sabana de Torres,Santander,inactive,68,Colombia
327,2023-06-14 12:38:11,0,Nimaima,Cundinamarca,inactive,25,Colombia
328,2022-12-15 18:26:28,1,Florida,Valle del Cauca,active,76,Colombia
329,2023-08-07 13:38:29,1,Villavicencio,Meta,active,50,Colombia
330,2023-07-15 08:46:03,1,Fosca,Cundinamarca,active,25,Colombia
331,2023-01-11 07:46:26,1,El Copey,Cesar,active,20,Colombia
332,2022-12-05 04:01:56,0,Puente Nacional,Santander,inactive,68,Colombia
333,2023-04-30 20:01:00,1,Chivolo,Magdalena,active,47,Colombia
334,2022-12-18 09:08:11,1,Coper,Boyacá,active,15,Colombia
335,2022-03-23 19:44:26,0,Ricaurte,Nariño,inactive,52,Colombia
336,2023-03-23 05:07:10,0,Puebloviejo,Magdalena,inactive,47,Colombia
337,2023-10-29 05:48:25,0,Santa Cruz de Mompox,Bolívar,inactive,13,Colombia
338,2022-12-30 06:23:54,1,Gachalá,Cundinamarca,active,25,Colombia
339,2022-10-22 10:45:58,0,Rosas,Cauca,inactive,19,Colombia
340,2023-02-09 05:46:09,0,El Retén,Magdalena,inactive,47,Colombia
341,2023-10-10 08:19:16,0,Dagua,Valle del Cauca,inactive,76,Colombia
342,2023-09-15 08:16:49,1,El Roble,Sucre,active,70,Colombia
343,2023-06-05 12:59:41,1,Zetaquira,Boyacá,active,15,Colombia
344,2022-09-15 09:17:38,0,La Estrella,Antioquia,inactive,5,Colombia
345,2024-01-15 10:58:19,0,Consacá,Nariño,inactive,52,Colombia
346,2023-04-11 22:22:23,1,Nobsa,Boyacá,active,15,Colombia
347,2023-09-08 21:07:14,1,Valparaíso,Caquetá,active,18,Colombia
348,2022-02-19 19:46:34,1,Calarcá,Quindío,active,63,Colombia
349,2022-07-09 12:05:26,0,Valledupar,Cesar,inactive,20,Colombia
350,2023-11-09 20:57:36,1,Natagaima,Tolima,active,73,Colombia
351,2023-01-23 12:15:57,0,La Unión,Nariño,inactive,52,Colombia
352,2023-08-26 11:59:40,0,Yondó,Antioquia,inactive,5,Colombia
353,2023-04-21 03:31:34,1,Ráquira,Boyacá,active,15,Colombia
354,2022-10-29 11:26:25,0,Cocorná,Antioquia,inactive,5,Colombia
